Name,organism,country,city/state,county,isolation_source,host,collection_date, ,species
KJ501099,West Nile virus,USA,,,mosquito pool,culex tarsalis,2009,"    Direct Submission
  ",mosquito
KJ501100,West Nile virus,USA,,,mosquito pool,culex tarsalis,2009,"    Direct Submission
  ",mosquito
KJ501102,West Nile virus,USA,,,mosquito pool,culex tarsalis,2009,"    Direct Submission
  ",mosquito
KJ501103,West Nile virus,USA,,,mosquito pool,culex tarsalis,2003,"    Direct Submission
  ",mosquito
KJ501104,West Nile virus,USA,,,mosquito pool,culex tarsalis,2003,"    Direct Submission
  ",mosquito
KJ501105,West Nile virus,USA,,,mosquito pool,culex tarsalis,2003,"    Direct Submission
  ",mosquito
KJ501106,West Nile virus,USA,,,mosquito pool,culex tarsalis,2008,"    Direct Submission
  ",mosquito
KJ501107,West Nile virus,USA,,,mosquito pool,culex tarsalis,2003,"    Direct Submission
  ",mosquito
KJ501108,West Nile virus,USA,,,mosquito pool,culex tarsalis,2007,"    Direct Submission
  ",mosquito
KJ501109,West Nile virus,USA,,,mosquito pool,culex tarsalis,2008,"    Direct Submission
  ",mosquito
KJ501110,West Nile virus,USA,,,mosquito pool,culex tarsalis,2009,"    Direct Submission
  ",mosquito
KJ501111,West Nile virus,USA,,,mosquito pool,culex tarsalis,2009,"    Direct Submission
  ",mosquito
KJ501112,West Nile virus,USA,,,mosquito pool,culex tarsalis,2007,"    Direct Submission
  ",mosquito
KJ501113,West Nile virus,USA,,,mosquito pool,culex tarsalis,2008,"    Direct Submission
  ",mosquito
KJ501114,West Nile virus,USA,,,mosquito pool,culex tarsalis,2007,"    Direct Submission
  ",mosquito
KJ501115,West Nile virus,USA,,,mosquito pool,culex tarsalis,2005,"    Direct Submission
  ",mosquito
KJ501119,West Nile virus,USA,,,mosquito pool,culex tarsalis,2005,"    Direct Submission
  ",mosquito
KJ501123,West Nile virus,USA,,,mosquito pool,culex tarsalis,2004,"    Direct Submission
  ",mosquito
KJ501125,West Nile virus,USA,,,mosquito pool,culex tarsalis,2004,"    Direct Submission
  ",mosquito
KJ501170,West Nile virus,USA,,,mosquito pool,culex tarsalis,2011,"    Direct Submission
  ",mosquito
KJ501186,West Nile virus,USA,,,mosquito pool,culex tarsalis,2005,"    Direct Submission
  ",mosquito
KJ501195,West Nile virus,USA,,,mosquito pool,culex tarsalis,2007,"    Direct Submission
  ",mosquito
KJ501206,West Nile virus,USA,,,mosquito pool,culex tarsalis,2008,"    Direct Submission
  ",mosquito
KJ501211,West Nile virus,USA,,,mosquito pool,culex tarsalis,2012,"    Direct Submission
  ",mosquito
KJ501214,West Nile virus,USA,,,mosquito pool,culex tarsalis,2012,"    Direct Submission
  ",mosquito
KJ501217,West Nile virus,USA,,,mosquito pool,culex tarsalis,2012,"    Direct Submission
  ",mosquito
KJ501220,West Nile virus,USA,,,mosquito pool,culex tarsalis,2012,"    Direct Submission
  ",mosquito
KJ501224,West Nile virus,USA,,,mosquito pool,culex tarsalis,2012,"    Direct Submission
  ",mosquito
KJ501226,West Nile virus,USA,,,mosquito pool,culex tarsalis,2012,"    Direct Submission
  ",mosquito
KJ501229,West Nile virus,USA,,,mosquito pool,culex tarsalis,2012,"    Direct Submission
  ",mosquito
KJ501230,West Nile virus,USA,,,mosquito pool,culex tarsalis,2012,"    Direct Submission
  ",mosquito
KR868734,West Nile virus,USA,CO, Fort Collins,homogenate from 6 pooled mosquitoes,culex tarsalis,41143,"    West Nile virus sequenced from a pool of Culex tarsalis, Fort
            Collins, CO, 2012
  ",mosquito
MG004528,West Nile virus,USA, AZ,,mosquito pool,culex tarsalis,42164,"    Evidence for persistent establishment of West Nile Virus in the
            Phoenix Metropolitan area
  ",mosquito
MG004530,West Nile virus,USA, AZ,,mosquito pool,culex tarsalis,42663,"    Evidence for persistent establishment of West Nile Virus in the
            Phoenix Metropolitan area
  ",mosquito
MG004531,West Nile virus,USA, AZ,,mosquito pool,culex tarsalis,42501,"    Evidence for persistent establishment of West Nile Virus in the
            Phoenix Metropolitan area
  ",mosquito
MH170227,West Nile virus,USA, CO, Larimer County,mosquito,culex tarsalis,2004,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
MH170239,West Nile virus,USA, CO, Weld County,mosquito pool (50),culex tarsalis,2006,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
MH170240,West Nile virus,USA, CO," Wellington, Larimer County",mosquito,culex tarsalis,2008,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
MH170241,West Nile virus,USA, CO, Weld County,mosquito pool (33),culex tarsalis,2007,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
MH170243,West Nile virus,USA, CO, Weld County,mosquito pool (50),culex tarsalis,2006,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
MH170244,West Nile virus,USA, CO, Weld County,mosquito pool (29),culex tarsalis,2007,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
MH170245,West Nile virus,USA, CO," Wellington, Larimer County",mosquito,culex tarsalis,2008,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
MH170246,West Nile virus,USA, CO, Weld County,mosquito pool (5),culex tarsalis,2004,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
MH170247,West Nile virus,USA, CO," Wellington, Larimer County",mosquito,culex tarsalis,2008,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
MH170249,West Nile virus,USA, CO, Weld County,mosquito pool (50),culex tarsalis,2006,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
MH170250,West Nile virus,USA, CO," Wellington, Larimer County",mosquito,culex tarsalis,2008,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
MH170251,West Nile virus,USA, CO, Weld County,mosquito pool (40),culex tarsalis,2007,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
MH170252,West Nile virus,USA, CO, Weld County,mosquito pool (24),culex tarsalis,2007,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
W016,,,CA,SanDiego,,culex tarsalis,42506,,mosquito
W090,,,CA,SanDiego,,culex tarsalis,42279,,mosquito
W1751,,,CO,Larimer,,culex tarsalis,41477,,mosquito
W1752,,,CO,Larimer,,culex tarsalis,41477,,mosquito
W1754,,,CO,Larimer,,culex tarsalis,41477,,mosquito
W1755,,,CO,Larimer,,culex tarsalis,41477,,mosquito
W1756,,,CO,Larimer,,culex tarsalis,41477,,mosquito
W1757,,,CO,Larimer,,culex tarsalis,41477,,mosquito
W1759,,,CO,Larimer,,culex tarsalis,41477,,mosquito
W1760,,,CO,Larimer,,culex tarsalis,41484,,mosquito
W1761,,,CO,Larimer,,culex tarsalis,41484,,mosquito
W1762,,,CO,Larimer,,culex tarsalis,41484,,mosquito
W1763,,,CO,Larimer,,culex tarsalis,41484,,mosquito
W1764,,,CO,Larimer,,culex tarsalis,41484,,mosquito
W1767,,,CO,Larimer,,culex tarsalis,41491,,mosquito
W1768,,,CO,Larimer,,culex tarsalis,41491,,mosquito
W1769,,,CO,Larimer,,culex tarsalis,41498,,mosquito
W1770,,,CO,Larimer,,culex tarsalis,41498,,mosquito
W1772,,,CO,Larimer,,culex tarsalis,41498,,mosquito
W1774,,,CO,Larimer,,culex tarsalis,41498,,mosquito
W1775,,,CO,Larimer,,culex tarsalis,41498,,mosquito
W1776,,,CO,Larimer,,culex tarsalis,41498,,mosquito
W1777,,,CO,Larimer,,culex tarsalis,41505,,mosquito
W1781,,,CO,Larimer,,culex tarsalis,41512,,mosquito
W1785,,,CO,Larimer,,culex tarsalis,41512,,mosquito
W1788,,,CO,Larimer,,culex tarsalis,41512,,mosquito
W1789,,,CO,Larimer,,culex tarsalis,41519,,mosquito
W1791,,,CO,Larimer,,culex tarsalis,41848,,mosquito
W1792,,,CO,Larimer,,culex tarsalis,41855,,mosquito
W1793,,,CO,Larimer,,culex tarsalis,41855,,mosquito
W1794,,,CO,Larimer,,culex tarsalis,41855,,mosquito
W1800,,,CO,Larimer,,culex tarsalis,41869,,mosquito
W1803,,,CO,Larimer,,culex tarsalis,41876,,mosquito
W188,,,CA,Fresno,,culex tarsalis,40402,,mosquito
W193,,,CA,Yuba,,culex tarsalis,41148,,mosquito
W195,,,CA,Riverside,,culex tarsalis,41144,,mosquito
W1962,,,IA,Dickinson,,culex tarsalis,42933,,mosquito
W199,,,CA,Fresno,,culex tarsalis,41135,,mosquito
W214,,,CA,Madera,,culex tarsalis,41814,,mosquito
W217,,,CA,ContraCosta,,culex tarsalis,41827,,mosquito
W223,,,CA,Yuba,,culex tarsalis,42170,,mosquito
W224,,,CA,ContraCosta,,culex tarsalis,42170,,mosquito
W228,,,CA,Alameda,,culex tarsalis,42207,,mosquito
W229,,,CA,Butte,,culex tarsalis,42200,,mosquito
W230,,,CA,Lake,,culex tarsalis,42206,,mosquito
W234,,,CA,Yuba,,culex tarsalis,42556,,mosquito
W240,,,CA,Kings,,culex tarsalis,42558,,mosquito
W242,,,CA,Fresno,,culex tarsalis,42922,,mosquito
W243,,,CA,Fresno,,culex tarsalis,42922,,mosquito
W245,,,CA,Kings,,culex tarsalis,42916,,mosquito
W246,,,CA,Kings,,culex tarsalis,42915,,mosquito
W350,,,CA,Kern,,culex tarsalis,38210,,mosquito
W358,,,CA,Kern,,culex tarsalis,38524,,mosquito
W362,,,CA,Kern,,culex tarsalis,38539,,mosquito
W363,,,CA,Kern,,culex tarsalis,38539,,mosquito
W368,,,CA,Kern,,culex tarsalis,38552,,mosquito
W370,,,CA,Kern,,culex tarsalis,38909,,mosquito
W372,,,CA,Kern,,culex tarsalis,38909,,mosquito
W384,,,CA,Kern,,culex tarsalis,39238,,mosquito
W385,,,CA,Kern,,culex tarsalis,39239,,mosquito
W400,,,CA,Kern,,culex tarsalis,39994,,mosquito
W401,,,CA,Kern,,culex tarsalis,39995,,mosquito
W402,,,CA,Kern,,culex tarsalis,40008,,mosquito
W405,,,CA,Kern,,culex tarsalis,40009,,mosquito
W411,,,CA,Kern,,culex tarsalis,40060,,mosquito
W415,,,CA,Kern,,culex tarsalis,40360,,mosquito
W422,,,CA,Kern,,culex tarsalis,40408,,mosquito
W423,,,CA,Kern,,culex tarsalis,40415,,mosquito
W427,,,CA,Kern,,culex tarsalis,40702,,mosquito
W428,,,CA,Kern,,culex tarsalis,40731,,mosquito
W429,,,CA,Kern,,culex tarsalis,40732,,mosquito
W430,,,CA,Kern,,culex tarsalis,40737,,mosquito
W431,,,CA,Kern,,culex tarsalis,40737,,mosquito
W432,,,CA,Kern,,culex tarsalis,40737,,mosquito
W433,,,CA,Kern,,culex tarsalis,40737,,mosquito
W437,,,CA,Kern,,culex tarsalis,40759,,mosquito
W440,,,CA,Kern,,culex tarsalis,40773,,mosquito
W485,,,CA,Kern,,culex tarsalis,42577,,mosquito
W635,,,CA,Sacramento,,culex tarsalis,38545,,mosquito
W636,,,CA,Sacramento,,culex tarsalis,38545,,mosquito
W637,,,CA,Sacramento,,culex tarsalis,38563,,mosquito
W650,,,CA,Sacramento,,culex tarsalis,39276,,mosquito
W651,,,CA,Sacramento,,culex tarsalis,39291,,mosquito
W653,,,CA,Yolo,,culex tarsalis,39294,,mosquito
W655,,,CA,Sacramento,,culex tarsalis,39303,,mosquito
W656,,,CA,Sacramento,,culex tarsalis,39637,,mosquito
W657,,,CA,Sacramento,,culex tarsalis,39653,,mosquito
W659,,,CA,Sacramento,,culex tarsalis,39672,,mosquito
W661,,,CA,Sacramento,,culex tarsalis,39679,,mosquito
W667,,,CA,Sacramento,,culex tarsalis,40045,,mosquito
W668,,,CA,Sacramento,,culex tarsalis,40045,,mosquito
W669,,,CA,Sacramento,,culex tarsalis,40065,,mosquito
W670,,,CA,Sacramento,,culex tarsalis,40368,,mosquito
W672,,,CA,Yolo,,culex tarsalis,40379,,mosquito
W677,,,CA,Sacramento,,culex tarsalis,40746,,mosquito
W678,,,CA,Sacramento,,culex tarsalis,40764,,mosquito
W679,,,CA,Sacramento,,culex tarsalis,40773,,mosquito
W680,,,CA,Sacramento,,culex tarsalis,40780,,mosquito
W681,,,CA,Sacramento,,culex tarsalis,40786,,mosquito
W682,,,CA,Sacramento,,culex tarsalis,40794,,mosquito
W685,,,CA,Sacramento,,culex tarsalis,41074,,mosquito
W686,,,CA,Sacramento,,culex tarsalis,41081,,mosquito
W688,,,CA,Sacramento,,culex tarsalis,41102,,mosquito
W692,,,CA,Sacramento,,culex tarsalis,41471,,mosquito
W693,,,CA,Yolo,,culex tarsalis,41471,,mosquito
W694,,,CA,Sacramento,,culex tarsalis,41474,,mosquito
W698,,,CA,Sacramento,,culex tarsalis,41814,,mosquito
W699,,,CA,Sacramento,,culex tarsalis,41821,,mosquito
W700,,,CA,Sacramento,,culex tarsalis,41823,,mosquito
W701,,,CA,Sacramento,,culex tarsalis,41830,,mosquito
W707,,,CA,Yolo,,culex tarsalis,42213,,mosquito
W708,,,CA,Yolo,,culex tarsalis,42216,,mosquito
W709,,,CA,Yolo,,culex tarsalis,42222,,mosquito
W710,,,CA,Yolo,,culex tarsalis,42236,,mosquito
W714,,,CA,Yolo,,culex tarsalis,42563,,mosquito
W715,,,CA,Sacramento,,culex tarsalis,42577,,mosquito
W716,,,CA,Sacramento,,culex tarsalis,42580,,mosquito
W717,,,CA,Yolo,,culex tarsalis,42587,,mosquito
W718,,,CA,Sacramento,,culex tarsalis,42591,,mosquito
W720,,,CA,Sacramento,,culex tarsalis,42948,,mosquito
W722,,,CA,Yolo,,culex tarsalis,42955,,mosquito
W1804,,,CO,Larimer,,culex. pipiens,42184,,mosquito
W1808,,,CO,Larimer,,culex. pipiens,42226,,mosquito
W1809,,,CO,Larimer,,culex. pipiens,42233,,mosquito
W1810,,,CO,Larimer,,culex. pipiens,42240,,mosquito
