branch_name,p_value,alpha_value,significant?
3053,0.8637594,0.0003875968992248062,n
4326,0.86547874,0.000390625,n
4466,0.87491467,0.00039370078740157485,n
2828,0.88652025,0.0003968253968253968,n
5007,0.89021643,0.0004,n
3031,0.89022303,0.0004032258064516129,n
5000,0.89041366,0.0004065040650406504,n
3729,0.89187004,0.0004098360655737705,n
4082,0.8931023,0.0004132231404958678,n
741,0.89473688,0.0004166666666666667,n
24,0.89974297,0.0004201680672268908,n
1098,0.90017625,0.0004237288135593221,n
854,0.90419638,0.00042735042735042735,n
1500,0.91211799,0.00043103448275862074,n
1507,0.91617128,0.0004347826086956522,n
4327,0.91758303,0.0004385964912280702,n
4469,0.91758303,0.00044247787610619474,n
3140,0.92187745,0.00044642857142857147,n
2289,0.92390865,0.00045045045045045046,n
1972,0.92403316,0.00045454545454545455,n
129,0.92529711,0.00045871559633027525,n
2930,0.93228567,0.000462962962962963,n
847,0.9328455,0.00046728971962616824,n
2527,0.93409716,0.0004716981132075472,n
849,0.93641517,0.0004761904761904762,n
1250,0.938033,0.0004807692307692308,n
3365,0.94221463,0.00048543689320388353,n
4511,0.94277375,0.0004901960784313725,n
3078,0.94880635,0.0004950495049504951,n
3034,0.95055079,0.0005,n
3700,0.95092156,0.000505050505050505,n
2995,0.95266804,0.0005102040816326531,n
3050,0.95498857,0.0005154639175257732,n
18,0.95864796,0.0005208333333333333,n
1099,0.96050323,0.0005263157894736842,n
26,0.96106645,0.0005319148936170213,n
989,0.96156591,0.0005376344086021505,n
802,0.96188925,0.0005434782608695652,n
3667,0.96750879,0.0005494505494505495,n
4371,0.9711016,0.0005555555555555556,n
2495,0.97187831,0.0005617977528089888,n
68,0.97258936,0.0005681818181818183,n
2580,0.97315797,0.0005747126436781609,n
1104,0.97486601,0.0005813953488372093,n
1965,0.97775339,0.0005882352941176471,n
1699,0.97818548,0.0005952380952380953,n
4999,0.97842052,0.0006024096385542169,n
2736,0.97930853,0.0006097560975609756,n
2936,0.98009242,0.0006172839506172839,n
669,0.98363718,0.000625,n
845,0.98411105,0.0006329113924050633,n
868,0.98446041,0.000641025641025641,n
4675,0.98446041,0.0006493506493506494,n
3252,0.98525055,0.0006578947368421052,n
3701,0.98574678,0.0006666666666666668,n
1163,0.98747019,0.0006756756756756757,n
2203,0.98975608,0.0006849315068493151,n
521,0.99062452,0.0006944444444444445,n
1772,0.99116447,0.0007042253521126761,n
3056,0.99138574,0.0007142857142857143,n
12,0.99217927,0.0007246376811594203,n
2285,0.99234085,0.0007352941176470588,n
2578,0.99252077,0.0007462686567164179,n
2576,0.99287963,0.0007575757575757576,n
4985,0.99392215,0.0007692307692307692,n
935,0.99404997,0.00078125,n
132,0.99447907,0.0007936507936507937,n
2284,0.99487645,0.0008064516129032258,n
4636,0.99560392,0.000819672131147541,n
1600,0.99560722,0.0008333333333333334,n
1037,0.99571628,0.0008474576271186442,n
992,0.99619132,0.0008620689655172415,n
1402,0.99645964,0.0008771929824561404,n
36,0.99675035,0.0008928571428571429,n
297,0.99696627,0.0009090909090909091,n
4250,0.99717436,0.000925925925925926,n
2004,0.99816079,0.0009433962264150943,n
1435,0.99898339,0.0009615384615384616,n
1962,0.99926518,0.000980392156862745,n
2006,0.99928004,0.001,n
